id,rating_author,rating_date,tweet_id,tweet_author,is_spam,topic,shares_author,rhetoric,uses_method,uses_data,uses_conclusions
127,CameronNeylon,12/20/11,130052081972293633,SlopeyPen,,,false,discusses,false,false,true
128,CameronNeylon,12/20/11,130037690006646787,ge_parada,,,false,discusses,false,false,false
129,CameronNeylon,12/20/11,130016752653451264,davewalshphoto,,,true,discusses,false,true,false
130,CameronNeylon,12/20/11,129936328929460224,RogerDJones1,,,false,discusses,false,false,true
131,CameronNeylon,12/20/11,129697052643950592,tdevaul,,,false,discusses,false,false,true
132,CameronNeylon,12/20/11,129647548385333248,k_hettinga,,,false,discusses,false,false,false
133,CameronNeylon,12/20/11,129554936714366976,isaiahhankel,,,false,discusses,false,false,true
134,CameronNeylon,12/20/11,129418155507453952,BraveNewClimate,,,false,discusses,false,false,false
135,CameronNeylon,12/20/11,129390712356749312,ChristosArgyrop,,,false,discusses,false,false,true
136,CameronNeylon,12/20/11,129296820722614273,AlysonHypnotik1,,,false,discusses,false,false,true
137,mfenner,12/20/11,130029205202272257,MCCOUNL,,,false,discusses,false,false,false
138,CameronNeylon,12/20/11,129278221614194689,mrvaidya,,,false,discusses,false,false,true
139,mfenner,01/05/12,129995605836701696,leafwendywhit,false,Earth Sciences,false,discusses,false,false,false
140,mfenner,01/05/12,129958327546425344,bexfelin,false,Medicine &amp; Health,false,discusses,false,false,false
141,CameronNeylon,12/20/11,128985905376673793,trgearhart,,,false,discusses,false,false,true
142,mfenner,12/20/11,129666042959106048,kaiddixou,,,false,discusses,false,false,true
143,CameronNeylon,12/20/11,128863061745475586,pabigui,,,false,agreesWith,false,false,false
144,CameronNeylon,12/20/11,128836845957169153,mjpallen,,,false,discusses,false,false,true
145,CameronNeylon,12/20/11,128817039312822272,dsindiana,,,false,agreesWith,false,false,true
146,CameronNeylon,12/20/11,128658352627650560,sarasteinmd,,,false,discusses,false,false,true
147,CameronNeylon,12/20/11,128423070762405889,mjpallen,,,false,discusses,false,false,true
148,CameronNeylon,12/20/11,128295976304775168,Charakan,,,false,agreesWith,false,false,true
149,CameronNeylon,12/20/11,127868668230123520,cascadewellness,,,false,discusses,false,false,true
150,CameronNeylon,12/20/11,127813378491170817,CoachCampbell,,,false,discusses,false,false,true
151,CameronNeylon,12/20/11,127659682079834112,top_tw_science,,,false,discusses,false,true,true
152,CameronNeylon,12/20/11,127250885893029889,_skyl,,,false,agreesWith,false,false,true
153,CameronNeylon,12/20/11,127406943424880640,genentechnews,,,false,discusses,true,false,false
154,CameronNeylon,12/20/11,127100818632609792,CharlieBio,,,false,discusses,false,false,true
155,CameronNeylon,12/20/11,121978458225131521,hanizaza,,,false,discusses,false,true,false
156,CameronNeylon,12/20/11,120298593801351168,rustlingmama,,,false,discusses,false,false,true
157,CameronNeylon,12/20/11,120217214002528256,benlubbon,,,false,agreesWith,false,false,false
158,mfenner,12/20/11,126055513476706305,helena_vidaurri,,,false,discusses,false,false,true
159,rdmpage,12/20/11,124488164407648256,carinap,,,false,discusses,false,false,false
160,rdmpage,12/20/11,129895050447552512,smangubhai,,,false,discusses,false,false,false
161,rdmpage,12/20/11,123728714155573248,chemasianj,,,true,discusses,false,false,false
162,rdmpage,12/20/11,123498443741208576,anaisaflores,,,false,discusses,false,false,false
163,rdmpage,12/20/11,129953004295163904,yeacollective,,,false,discusses,false,false,false
164,rdmpage,12/20/11,121247451981168640,hoppy212ny,,,false,discusses,false,false,false
165,rdmpage,12/20/11,128241606510903296,MorelandHall,,,false,agreesWith,false,false,false
166,mfenner,01/06/12,129621961511927808,hysell,false,Medicine &amp; Health,false,discusses,true,false,true
167,Stew,12/20/11,127250322304413696,Travel_Health,,,false,discusses,false,false,true
168,Stew,12/20/11,127216446135746560,XMRV_GA,,,false,agreesWith,false,false,true
169,Stew,12/20/11,127198466089816064,cbjones1943,,,false,discusses,false,false,false
170,Stew,12/20/11,127185128127594496,sapient_ape,,,false,agreesWith,false,false,true
171,Stew,12/20/11,127174534527844353,RtestR,,,false,discusses,true,false,false
172,Stew,12/20/11,127149820581380096,HealthNut_News,,,false,discusses,false,false,false
173,Stew,12/20/11,127125816525066241,glassmanamanda,,,false,discusses,false,false,false
174,Stew,12/20/11,127106854949105666,_lailak_,,,false,discusses,false,true,false
175,Stew,12/20/11,126144363154780161,UNMCogNeuro,,,false,agreesWith,false,false,true
176,Stew,12/20/11,128985905376673793,trgearhart,,,false,agreesWith,false,false,true
177,Stew,12/20/11,123732875819491329,madhatter_xam,,,false,discusses,true,false,false
178,Stew,12/20/11,120926650102853632,hey_ghis,,,false,discusses,false,false,false
179,Stew,12/20/11,120249370024230912,mmykim,,,false,agreesWith,false,false,true
180,openscience,12/20/11,121656652167524352,favilar,,,false,discusses,false,false,true
181,LizNeeley,12/20/11,127700968694489088,okaimono39,,,false,discusses,false,false,true
182,LizNeeley,12/20/11,128918572616523776,SebValenz,,,false,discusses,false,false,false
